chainage (m),Q (m3/s),flood levels (masl)
16236.120962339744,7645.254710697474,118.2425427919323
17290.694098057527,12575.601720779536,123.84881584811767
7065.608326320309,9555.286138831774,120.35879280564242
9421.101877359444,14161.398271298585,123.18969498022395
16849.156121416727,7317.599194561056,118.86921611645411
6790.312584658826,5171.138246508323,116.24263554871305
32272.869848201357,7044.270940731674,116.04610822202707
9500.792442611786,13561.639792817841,122.63090273252831
13967.381397853316,8923.261743094743,120.57553971797505
26170.444139181825,6569.3541530271405,116.66689064594075
4170.166850169165,3166.7134443576506,115.62864397674832
10121.554606963835,6514.875870815432,118.49275462711695
25915.58792032665,13782.72354405925,122.85088847755033
33661.36715885595,9444.97647759228,117.26671845225351
20157.822330969953,7026.298835407268,117.47831011816132
23729.561623637823,15849.411928850195,120.17407995673769
25164.789778228427,11781.417208866686,118.76734992703153
22544.3760946362,11921.313939545627,120.11291122429614
15434.90482244919,10339.163840239595,119.50382700202451
29297.422009848702,12068.036820788608,121.79908416387592
28706.267504053572,7169.791401319664,118.18595925688061
18605.940556210844,8721.313853315885,117.36769063033711
22086.609964027375,14086.47151617316,121.55223182152649
30022.44081963105,11840.348640743852,120.54216359880064
25252.70891570245,11567.76547025047,119.35294272368017
14533.656060091576,10280.095509760633,121.25767729251652
22926.770869380314,16269.150317074058,121.81111590645166
25524.311327957825,13161.514687103347,121.18782691319709
21141.55734217988,14524.141929151852,122.91852662180091
10740.126690088735,11651.871542388897,122.73702495996523
11986.125119124034,8367.067190461123,121.77413615932912
8590.338830705365,12117.507582687964,121.30773484403014
10289.803978513708,12550.912736713959,123.33520357588945
26255.622712572265,12589.502366502948,121.65666321682872
33123.77694480274,7081.114053934662,114.86268972608394
22467.51299207703,10949.949836008727,118.93141374863477
15097.100905462949,13798.738151201338,122.61700408258598
11157.411930389793,11495.969245943385,122.69795102180291
6475.9509894844505,7922.07110342038,118.61189584279437
12721.333054794062,6074.355745045694,120.29069506085655
14892.857274617965,13235.712774724612,122.73493881562031
12239.341909480581,10637.134840110419,123.83546820035247
11759.388589103273,5030.302884663593,117.6590146372866
13669.295223887462,17156.545161006085,127.65171079887934
4698.659176511867,9089.648534127324,120.03804655497622
5899.787522721348,8686.303336428738,118.67722350196746
17763.181452440556,3787.18767667685,113.82932089910261
11521.611483214227,14059.099095710859,124.21349970226223
3051.1786333367145,7834.717655557085,121.26654198211932
9855.412081369283,3826.3868716108964,115.08459555821898
11256.421653339206,10688.6970392658,121.20175804779585
10529.638496320458,10976.440405115529,122.48528849586201
6638.056539269219,10743.803915767723,121.0036644458535
